preco,condominio,IPTU,metros_quadrados,quartos,banheiros,vagas,endereco
1060000,NA,NA,271,4 ,3 ,4 ,"Rua Monsenhor Marques, Pechincha"
1950000,450,6320,610,5 ,5 ,2 ,"Itanhangá, Rio de Janeiro"
750000,550,NA,140,3 ,3 ,1 ,"Largo do Pechincha, Pechincha"
1480000,NA,6000,450,3 ,7 ,4 ,"Vargem Grande, Rio de Janeiro"
1250000,NA,NA,285,4 ,9 ,4 ,"Recreio Dos Bandeirantes, Rio de Janeiro"
4500000,1700,27600,550,6 ,7 ,4 ,"Rio de Janeiro, Rio de Janeiro"
550000,NA,297,400,5 ,3 ,1 ,"Pilares, Rio de Janeiro"
1800000,900,5800,247,3 ,6 ,4 ,"Rua Professora Luiza Nogueira Gonçalves, Barra da Tijuca"
2700000,1080,NA,459,5 ,6 ,5 ,"Rua Frei Jacinto Infantino, Barra da Tijuca"
1125000,NA,400,180,4 ,4 ,1 ,"Rua Mearim, Grajaú"
850000,NA,NA,288,3 ,2 ,5 ,"Rua Monsenhor Marques, Pechincha"
1800000,2597,NA,220,3 ,2 ,2 ,"Estrada da Canoa, São Conrado"
1301691,1079,419,137,3 ,1 ,NA,"Rua Omar Bandeira Ramidan Sobrinho, Recreio Dos Bandeirantes"
220000,NA,NA,60,2 ,1 ,NA,"Penha, Rio de Janeiro"
1500000,1400,2610,255,5 ,3 ,2 ,"Rua Tobias do Amaral, Cosme Velho"
350000,NA,101,43,4 ,3 ,1 ,"Rua Fernandes Marinho, Oswaldo Cruz"
650000,NA,NA,155,2 ,2 ,2 ,"Rua José Álvares Maciel,  Pedra de Guaratiba"
840000,NA,6000,320,5 ,4 ,4 ,"Rua Dom Emanuel Gomes, Jardim Guanabara"
520000,NA,NA,160,3 ,2 ,NA,"Campo Grande, Rio de Janeiro"
550000,NA,2812,262,2 ,2 ,NA,"Rua Borja Reis, Engenho De Dentro"
900000,NA,96,138,2 ,2 ,1 ,"Estrada de Maracai, Alto da Boa Vista"
960000,NA,NA,180,3 ,3 ,2 ,"Rua Nogueira Acioli, Jardim Guanabara"
850000,NA,1990,231,4 ,4 ,4 ,"Jardim Sulacap, Rio de Janeiro"
450000,150,905,93,3 ,2 ,1 ,"Rua Ana Silva, Pechincha"
3500000,1109,1219,337,6 ,4 ,3 ,"Barra da Tijuca, Rio de Janeiro"
2700000,1080,NA,459,5 ,6 ,5 ,"Rua Frei Jacinto Infantino, Barra da Tijuca"
1125000,NA,400,180,4 ,4 ,1 ,"Rua Mearim, Grajaú"
850000,NA,NA,288,3 ,2 ,5 ,"Rua Monsenhor Marques, Pechincha"
1800000,2597,NA,220,3 ,2 ,2 ,"Estrada da Canoa, São Conrado"
530000,NA,NA,150,3 ,1 ,1 ,"Rua Turvo, Irajá"
1500000,1400,2610,255,5 ,3 ,2 ,"Rua Tobias do Amaral, Cosme Velho"
350000,NA,101,43,4 ,3 ,1 ,"Rua Fernandes Marinho, Oswaldo Cruz"
650000,NA,NA,155,2 ,2 ,2 ,"Rua José Álvares Maciel,  Pedra de Guaratiba"
840000,NA,6000,320,5 ,4 ,4 ,"Rua Dom Emanuel Gomes, Jardim Guanabara"
520000,NA,NA,160,3 ,2 ,NA,"Campo Grande, Rio de Janeiro"
550000,NA,2812,262,2 ,2 ,NA,"Rua Borja Reis, Engenho De Dentro"
900000,NA,96,138,2 ,2 ,1 ,"Estrada de Maracai, Alto da Boa Vista"
2990000,1350,450,400,4 ,2 ,NA,"Rua Saubara, Itanhangá"
960000,NA,NA,180,3 ,3 ,2 ,"Rua Nogueira Acioli, Jardim Guanabara"
850000,NA,1990,231,4 ,4 ,4 ,"Jardim Sulacap, Rio de Janeiro"
450000,150,905,93,3 ,2 ,1 ,"Rua Ana Silva, Pechincha"
3500000,1109,1219,337,6 ,4 ,3 ,"Barra da Tijuca, Rio de Janeiro"
650000,NA,NA,159,4 ,4 ,2 ,"Rua Antônio Salema, Vila Isabel"
650000,NA,161,170,4 ,2 ,2 ,"Rua Ferreira de Andrade, Cachambi"
2150000,997,6424,355,5 ,5 ,4 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
2150000,997,6424,355,5 ,5 ,4 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
2150000,997,6424,355,5 ,5 ,4 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
390000,100,NA,95,3 ,1 ,2 ,"Rua Edgard Werneck, Freguesia- Jacarepaguá"
580000,NA,NA,200,2 ,4 ,NA,"Rua Fernandes Gusmão, Irajá"
930000,NA,3155,133,3 ,3 ,4 ,"Rua Dom Duarte Leopoldo, Jardim Guanabara"
7500000,NA,1475,670,4 ,4 ,NA,"Rua Peri, Jardim Botânico"
530000,NA,NA,227,3 ,2 ,5 ,"Rua Santa Mariana, Higienópolis"
1700000,1200,329,300,4 ,4 ,2 ,"Estrada da Gávea Pequena, Alto da Boa Vista"
650000,NA,1,100,3 ,2 ,3 ,"Rua Bárbara Heliodora, Jardim Sulacap"
1950000,1013,1121,600,5 ,7 ,3 ,"Estrada do Rio Grande, Taquara"
650000,50,NA,110,3 ,2 ,2 ,"Rua Alzira Brandão, Tijuca"
350000,NA,NA,56,2 ,1 ,NA,"Praia do Zumbi, Zumbi"
489999,NA,286,147,5 ,3 ,2 ,"Rua Conselheiro Jobim, Engenho Novo"
420000,NA,NA,81,2 ,1 ,3 ,"Rua Roruima, Irajá"
600000,NA,552,227,2 ,4 ,NA,"Rua Jogo da Bola, Saúde"
585000,NA,1413,230,5 ,1 ,4 ,"Rua Jornalista Mário Galvão, Vila Kosmos"
450000,NA,204,342,5 ,5 ,2 ,"Rua Ravena, Campo Grande"
900000,1,1194,132,2 ,5 ,2 ,"Rua Santa Maria Rosselo, Tijuca"
650000,NA,638,170,3 ,2 ,4 ,"Rua Horácio Wells, Irajá"
449000,NA,100,100,2 ,1 ,4 ,"Olaria, Rio de Janeiro"
750000,360,NA,260,3 ,2 ,4 ,"Estrada do Rio Grande, Taquara"
275000,NA,NA,55,2 ,1 ,1 ,"Rua Luís de Brito, Maria da Graça"
970000,750,2100,255,3 ,3 ,4 ,"Estrada da Urucanga, Jacarepaguá"
1630000,750,6000,480,4 ,5 ,2 ,"Avenida Aldemir Martins, Recreio Dos Bandeirantes"
368000,NA,400,75,3 ,2 ,NA,"Rua Duque de Caxias, Vila Isabel"
1200000,750,3823,371,4 ,4 ,4 ,"Rua Firmino da Silva, Freguesia- Jacarepaguá"
1249999,75,NA,200,4 ,4 ,2 ,"Rua Dona Delfina, Tijuca"
420000,NA,252,95,2 ,2 ,1 ,"Rua Sousa Franco, Vila Isabel"
2590000,900,720,340,4 ,4 ,3 ,"Recreio Dos Bandeirantes, Rio de Janeiro"
274550,NA,NA,130,1 ,1 ,NA,"Rua da Bela Vista, Engenho Novo"
550000,NA,1544,152,2 ,3 ,1 ,"Rua Tenente Abel Cunha, Higienópolis"
700000,NA,1750,167,3 ,2 ,NA,"Rua Borda do Mato, Grajaú"
4900000,NA,NA,530,5 ,4 ,3 ,"Avenida Luther King, Barra da Tijuca"
2450000,1500,NA,316,4 ,5 ,3 ,"Rua Professor Wilson Choeri, Recreio Dos Bandeirantes"
900000,NA,8216,180,3 ,4 ,2 ,"Rua Comendador Martinelli, Grajaú"
480000,NA,1256,182,3 ,2 ,1 ,"Avenida Monsenhor Félix, Irajá"
140000,NA,NA,51,1 ,1 ,NA,"Rua Aibu, Engenho Novo"
950000,NA,NA,350,4 ,1 ,6 ,"Rua Retiro dos Artistas, Jacarepaguá"
570000,NA,NA,250,5 ,3 ,NA,"Rua Conselheiro Paranaguá, Vila Isabel"
98605,NA,NA,134,1 ,1 ,NA,"Rua Raimundo Ferreira Lima, Paciência"
150000,NA,NA,50,1 ,1 ,NA,"Ladeira dos Tabajaras, Copacabana"
7250000,789,859,400,4 ,5 ,3 ,"Rua João Borges, Gávea"
658920,NA,3,476,4 ,2 ,2 ,"Rua Alberto Soares Sampaio, Taquara"
395000,100,200,70,2 ,2 ,1 ,"Riachuelo, Rio de Janeiro"
229000,NA,NA,100,2 ,1 ,6 ,"Rua Estrela do Norte, Bangu"
7200000,1250,2378,593,4 ,5 ,2 ,"Rua Euclides de Figueiredo, Jardim Botânico"
647000,NA,NA,100,2 ,2 ,2 ,"Rua São Miguel, Tijuca"
5800000,NA,1350,526,4 ,2 ,NA,"Rua Peri, Jardim Botânico"
1500000,480,228,200,4 ,1 ,2 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
650000,NA,161,170,4 ,2 ,2 ,"Rua Ferreira de Andrade, Cachambi"
750000,NA,5000,307,3 ,5 ,2 ,"Rua Gonzaga Bastos, Tijuca"
429000,NA,816,127,2 ,2 ,1 ,"Rua Maues, Vista Alegre"
450000,NA,980,204,3 ,3 ,2 ,"Rua Mileto Maciel, Cacuia"
600000,370,NA,184,4 ,3 ,1 ,"Rua Lagoa Bonita, Vargem Grande"
6000000,NA,3931,220,4 ,8 ,1 ,"Rua Embaixador Morgan, Humaitá"
850000,NA,2821,170,4 ,3 ,2 ,"Rua Oliveira da Silva, Tijuca"
240000,NA,NA,45,2 ,1 ,1 ,"Estrada do Otaviano, Rocha Miranda"
800000,NA,NA,234,3 ,7 ,1 ,"Rua Babilônia, Tijuca"
390000,NA,NA,100,2 ,1 ,4 ,"Rua São Calisto, Taquara"
320000,50,NA,57,2 ,NA,1 ,"Avenida dos Mananciais, Taquara"
750000,NA,650,160,5 ,4 ,NA,"Praia da Moreninha, Paquetá"
4500000,1500,777,599,5 ,5 ,5 ,"Estrada de Itajuru, Itanhangá"
620000,NA,254,169,3 ,3 ,2 ,"Rua Apolonia Pinto, Tanque"
650000,NA,NA,150,5 ,3 ,2 ,"Campo Grande, Rio de Janeiro"
1650000,800,276,203,4 ,3 ,2 ,"Rua Sylvio da Rocha Pollis, Barra da Tijuca"
1199900,500,240,329,4 ,11 ,3 ,"Estrada Campo da Areia, Pechincha"
980000,NA,5280,216,3 ,3 ,2 ,"Rua Padre Elías Gorayeb, Tijuca"
980000,NA,2565,291,3 ,5 ,4 ,"Estrada dos Três Rios, Freguesia- Jacarepaguá"
610000,50,1018,156,2 ,2 ,NA,"Rua Senador Soares, Vila Isabel"
2280000,925,NA,243,4 ,5 ,4 ,"Estrada Vereador Alceu de Carvalho, Vargem Grande"
2250000,840,396,300,4 ,6 ,NA,"Rua Fritz Feigl, Freguesia- Jacarepaguá"
2499000,925,4971,599,4 ,4 ,4 ,"Recreio Dos Bandeirantes, Rio de Janeiro"
720000,100,2254,183,3 ,5 ,1 ,"Rua Antônio Cordeiro, Freguesia- Jacarepaguá"
3200000,1400,12000,360,5 ,3 ,2 ,"Rua Ênio Silveira, Barra da Tijuca"
1200000,390,353,271,3 ,4 ,4 ,"Rua Moacir dos Santos Lima,  Vila Valqueire"
800000,630,NA,270,5 ,5 ,2 ,"Rua Teixeira Heizer, Recreio Dos Bandeirantes"
550000,NA,NA,140,2 ,2 ,2 ,"Estrada Mapua, Jacarepaguá"
700000,NA,3137,303,5 ,4 ,3 ,"Estrada do Bananal, Freguesia- Jacarepaguá"
550000,NA,1200,92,2 ,1 ,NA,"Rua Real Grandeza, Botafogo"
1900000,1340,967,535,4 ,3 ,2 ,"Rua Engenheiro Neves da Rocha, Itanhangá"
450000,NA,300,100,1 ,2 ,NA,"Rua Basílio de Brito, Cachambi"
650000,NA,101,140,3 ,2 ,NA,"Rua João Silva, Olaria"
650000,NA,921,148,3 ,3 ,4 ,"Rua Monsenhor Marques, Pechincha"
650000,NA,52,117,4 ,2 ,1 ,"Rua Dezoito de Outubro, Tijuca"
4000000,1590,1434,650,4 ,4 ,3 ,"Rua Alexandra, Itanhangá"
450000,NA,NA,1000,1 ,1 ,20 ,"Estrada Cabungui, Vargem Grande"
5500000,2400,12000,550,5 ,6 ,8 ,"Barra da Tijuca, Rio de Janeiro"
832000,NA,NA,139,4 ,1 ,2 ,"Rua Geminiano Gois, Freguesia- Jacarepaguá"
630000,NA,4000,210,4 ,3 ,NA,"Rua Visconde de Abaeté, Vila Isabel"
550000,NA,NA,98,2 ,2 ,4 ,"Rua Valinhos, Engenho Da Rainha"
99000,NA,NA,75,1 ,1 ,NA,"Rua Ministro Moreira de Abreu, Olaria"
330000,NA,NA,153,3 ,1 ,2 ,"Rua Santo Elias, Rocha Miranda"
6000000,950,452,238,4 ,2 ,4 ,"Rua Pacheco Leão, Jardim Botânico"
500000,NA,129,200,3 ,3 ,1 ,"Rua Leopoldina Rego, Olaria"
450000,NA,NA,110,3 ,2 ,3 ,"Rua Joaquim Rodrigues, Parada de Lucas"
1890000,1460,973,363,4 ,6 ,3 ,"Avenida das Américas, Barra da Tijuca"
420000,NA,1409,120,3 ,1 ,NA,"Tijuca, Rio de Janeiro"
500000,NA,393,167,2 ,2 ,3 ,"Rua Flor da Páscoa, Campo Grande"
755000,NA,4419,490,4 ,4 ,3 ,"Rua Jornalista José Morais, Pechincha"
170000,NA,NA,75,2 ,1 ,1 ,"Rua Piraquê, Madureira"
2000000,NA,1200,400,3 ,7 ,3 ,"Rua Roberval Cordeiro de Farias, Recreio Dos Bandeirantes"
995000,NA,1200,200,3 ,3 ,3 ," Vila Valqueire, Rio de Janeiro"
559000,250,NA,110,3 ,3 ,2 ,"Rua Imuta, Pechincha"
699000,450,1300,134,3 ,3 ,2 ,"Rua Manhuaçu, Vargem Grande"
1070000,NA,1262,210,4 ,1 ,2 ,"Rua Henrique Fleiuss, Tijuca"
320000,NA,425,89,2 ,1 ,NA,"Grajaú, Rio de Janeiro"
649000,NA,6421,146,4 ,4 ,1 ,"Rua São Francisco Xavier, Maracanã"
2900000,1450,NA,487,5 ,2 ,2 ,"Rua Senador Generoso Ponce, Barra da Tijuca"
580000,NA,NA,199,4 ,2 ,2 ,"Rua Tenente Costa, Méier"
1060000,50,609,153,2 ,3 ,NA,"Tijuca, Rio de Janeiro"
500000,480,120,100,3 ,2 ,2 ,"Rua Caniu, Pechincha"
630000,NA,NA,170,4 ,4 ,1 ,"Rua Francisca Matos, Tauá"
960000,350,3990,449,4 ,5 ,2 ,"Rua Retiro dos Artistas, Pechincha"
639999,120,NA,246,3 ,4 ,2 ,"Rua Aristides Lobo, Tijuca"
4800000,2250,28287,912,5 ,4 ,6 ,"Barra da Tijuca, Rio de Janeiro"
2550000,NA,1533,222,7 ,3 ,2 ,"Rua Silveira Martins, Flamengo"
1780000,860,NA,206,5 ,5 ,2 ,"Avenida das Américas, Recreio Dos Bandeirantes"
3200000,1591,1910,575,5 ,5 ,6 ,"Barra da Tijuca, Rio de Janeiro"
534000,NA,NA,259,4 ,2 ,2 ,"Rua José Braga, Jacarepaguá"
518000,80,981,140,3 ,4 ,1 ,"Avenida Afonso da Silveira Filho, Anil"
500000,NA,1283,259,3 ,3 ,2 ,"Rua Cadete Polônia, Sampaio"
450000,NA,NA,189,3 ,3 ,2 ,"Rua Luiz Barata, Campo Grande"
864999,550,NA,150,2 ,3 ,1 ,"Rua Professor Hélion Povoa, Tijuca"
316500,NA,NA,80,3 ,2 ,1 ,"Jardim Sulacap, Rio de Janeiro"
4200000,2000,1500,580,5 ,5 ,4 ,"Estrada da Barra da Tijuca, Barra da Tijuca"
2300000,NA,2200,360,8 ,9 ,5 ,"Rua Franco Job, Portuguesa"
630000,NA,NA,140,4 ,2 ,2 ,"Portuguesa, Rio de Janeiro"
275000,NA,93,70,2 ,1 ,3 ,"Rua Sumidouro, Rocha Miranda"
710000,NA,230,287,5 ,4 ,1 ,"Vila Isabel, Rio de Janeiro"
445000,NA,450,100,4 ,2 ,NA,"Rua Gomes Lópes, Santa Teresa"
250000,NA,274,110,1 ,1 ,NA,"Rua Lisboa, Penha"
430000,NA,NA,200,5 ,2 ,10 ,"Rua Ibotirama, Colégio"
700000,NA,1799,239,4 ,3 ,6 ,"Pilares, Rio de Janeiro"
2100000,950,450,385,3 ,3 ,3 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
785000,300,NA,240,3 ,4 ,4 ,"Freguesia, Rio de Janeiro"
650000,90,257,57,2 ,2 ,1 ,"Tijuca, Rio de Janeiro"
1700000,1300,2400,410,3 ,5 ,2 ,"Estrada Vereador Alceu de Carvalho, Vargem Grande"
890000,NA,800,150,3 ,3 ,2 ,"Rua Araticum, Anil"
1350000,1057,207,203,4 ,4 ,3 ,"Rua Rômulo de Almeida, Recreio Dos Bandeirantes"
650000,NA,NA,144,3 ,1 ,10 ,"Rua Luísa Prata, Parada de Lucas"
450000,NA,NA,126,2 ,1 ,2 ,"Rua Onça Pintada, Campo Grande"
850000,NA,NA,77,3 ,1 ,2 ,"Rua Japobim, Parada de Lucas"
670000,NA,1680,105,3 ,3 ,5 ,"Rua João Pinheiro, Piedade"
2000000,NA,1800,1000,8 ,5 ,5 ,"Rua Saint Roman, Copacabana"
3000000,NA,NA,250,3 ,1 ,1 ,"Rua Almirante Gomes Pereira, Urca"
1700000,862,3900,250,4 ,5 ,2 ,"Recreio Dos Bandeirantes, Rio de Janeiro"
420000,50,800,105,2 ,2 ,1 ,"Rua Fábio Luz, Méier"
4000000,NA,750,1750,5 ,4 ,4 ,"Estrada da Gávea, Gávea"
960000,NA,NA,165,3 ,2 ,3 ,"Rua Professor Teixeira da Rocha, Vila da Penha"
2900000,1221,NA,405,4 ,3 ,2 ,"Rua Paulo Areal, Barra da Tijuca"
3200000,NA,650,260,7 ,6 ,NA,"Rua das Acácias, Gávea"
430000,10,NA,80,2 ,1 ,NA,"Rua Barão de São Francisco, Vila Isabel"
430000,NA,1164,124,3 ,1 ,1 ,"Estrada de Camorim, Jacarepaguá"
320000,NA,NA,115,2 ,1 ,1 ,"Avenida Pastor Miranda Pinto, Irajá"
1380000,530,NA,326,4 ,NA,4 ,"Rua Arueira, Anil"
997000,NA,2790,296,3 ,4 ,2 ,"Rua Comendador Martinelli, Grajaú"
710000,NA,1620,360,7 ,7 ,4 ,"Rua Nacional, Taquara"
240000,NA,NA,200,5 ,2 ,1 ,"Rua Ângela Pinto, Pavuna"
910000,NA,NA,147,3 ,3 ,2 ,"Rua Benevenuto Berna, Maracanã"
890000,NA,NA,130,3 ,3 ,3 ,"Portuguesa, Rio de Janeiro"
921000,NA,NA,167,5 ,1 ,2 ,"Rua Geminiano Gois, Freguesia- Jacarepaguá"
550000,NA,1040,92,2 ,2 ,NA,"Rua Real Grandeza, Botafogo"
1200000,NA,1358,306,4 ,3 ,2 ,"Praça José Ribeiro, Grajaú"
650000,NA,1686,165,2 ,2 ,NA,"Rua Gonzaga Bastos, Vila Isabel"
11500000,NA,NA,606,4 ,5 ,5 ,"Rua Alberto de Faria, Leblon"
600000,NA,NA,121,5 ,4 ,4 ,"Estrada Guandu do Sape, Campo Grande"
2195000,650,NA,1003,5 ,7 ,3 ,"Rua Gama Malcher, Freguesia- Jacarepaguá"
690000,NA,807,141,3 ,3 ,2 ,"Rua Doutor Ferrari, Méier"
740000,NA,1462,150,3 ,1 ,1 ,"Rua Amoroso Costa, Tijuca"
950000,500,100,90,4 ,4 ,2 ,"Jacarepaguá, Rio de Janeiro"
2000000,NA,4000,750,4 ,7 ,2 ,"Rua Professor Olinto de Oliveira, Santa Teresa"
640000,NA,1810,235,3 ,3 ,1 ,"Rua Paulo Silva Araújo, Méier"
500000,NA,1251,200,4 ,3 ,3 ,"Rua da Cascata, Tijuca"
1160000,NA,800,270,4 ,4 ,5 ,"Tijuca, Rio de Janeiro"
198000,NA,NA,107,1 ,1 ,1 ,"Rua Tiboim, Brás de Pina"
600000,NA,718,80,2 ,3 ,NA,"Rua Barão de São Francisco, Andaraí"
680000,NA,NA,177,6 ,4 ,2 ,"Rua Gutemberg, Campo Grande"
640000,NA,NA,260,4 ,5 ,2 ,"Rua Joinville, Padre Miguel"
2100000,NA,182,391,4 ,6 ,3 ,"Rua Fantoches, Jardim Guanabara"
460000,NA,1335,186,4 ,2 ,NA,"Rua Nossa Senhora das Graças, Ramos"
2950000,100,NA,400,4 ,5 ,4 ,"Rua Erere, Cosme Velho"
520000,NA,162,88,3 ,3 ,4 ,"Rua Álvares Cabral, Cachambi"
3199990,440,870,315,4 ,5 ,2 ,"Travessa Visconde de Morais, Botafogo"
4000000,2774,1933,834,4 ,5 ,3 ,"Barra da Tijuca, Rio de Janeiro"
1200000,NA,1950,283,4 ,3 ,4 ,"Rua Comendador Siqueira, Pechincha"
499999,NA,NA,162,3 ,3 ,1 ,"Rua Irati, Tijuca"
130000,NA,NA,74,1 ,1 ,1 ,"Rua Bernardo José de Oliveira, Campo Grande"
950000,1,646,420,3 ,5 ,2 ,"Rua das Dálias,  Vila Valqueire"
100000,NA,NA,150,2 ,1 ,NA,"Vaz Lobo, Rio de Janeiro"
410000,NA,911,204,3 ,3 ,2 ,"Travessa Olinda Santos, Turiaçu"
920000,NA,2996,212,3 ,3 ,2 ,"Rua Engenheiro Coelho Cintra, Portuguesa"
850000,NA,190,220,3 ,3 ,4 ,"Rua Feira de Santana, Taquara"
350000,550,758,60,2 ,3 ,1 ,"Rua Edgard Werneck, Freguesia- Jacarepaguá"
380000,1,1,92,2 ,2 ,1 ,"Rua Elisa da Fonseca, Bento Ribeiro"
465000,15,125,110,3 ,2 ,2 ,"Rua Doutor Ferrari, Cachambi"
530000,NA,599,130,2 ,1 ,1 ,"Rua Senador Soares, Tijuca"
550000,NA,104,114,3 ,1 ,2 ,"Rua Jucari, Irajá"
4200000,2000,1500,580,5 ,5 ,4 ,"Estrada da Barra da Tijuca, Barra da Tijuca"
400000,NA,NA,59,2 ,2 ,1 ,"Tauá, Rio de Janeiro"
2300000,NA,2200,360,8 ,9 ,5 ,"Rua Franco Job, Portuguesa"
630000,NA,NA,140,4 ,2 ,2 ,"Portuguesa, Rio de Janeiro"
275000,NA,93,70,2 ,1 ,3 ,"Rua Sumidouro, Rocha Miranda"
710000,NA,230,287,5 ,4 ,1 ,"Vila Isabel, Rio de Janeiro"
445000,NA,450,100,4 ,2 ,NA,"Rua Gomes Lópes, Santa Teresa"
460000,NA,NA,150,3 ,2 ,2 ,"Rua Ismênia, Bento Ribeiro"
250000,NA,274,110,1 ,1 ,NA,"Rua Lisboa, Penha"
430000,NA,NA,200,5 ,2 ,10 ,"Rua Ibotirama, Colégio"
2100000,950,450,385,3 ,3 ,3 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
785000,300,NA,240,3 ,4 ,4 ,"Freguesia, Rio de Janeiro"
650000,90,257,57,2 ,2 ,1 ,"Tijuca, Rio de Janeiro"
1700000,1300,2400,410,3 ,5 ,2 ,"Estrada Vereador Alceu de Carvalho, Vargem Grande"
890000,NA,800,150,3 ,3 ,2 ,"Rua Araticum, Anil"
1350000,1057,207,203,4 ,4 ,3 ,"Rua Rômulo de Almeida, Recreio Dos Bandeirantes"
650000,NA,NA,144,3 ,1 ,10 ,"Rua Luísa Prata, Parada de Lucas"
850000,NA,NA,77,3 ,1 ,2 ,"Rua Japobim, Parada de Lucas"
420000,50,800,105,2 ,2 ,1 ,"Rua Fábio Luz, Méier"
4000000,NA,750,1750,5 ,4 ,4 ,"Estrada da Gávea, Gávea"
960000,NA,NA,165,3 ,2 ,3 ,"Rua Professor Teixeira da Rocha, Vila da Penha"
150000,NA,40,71,2 ,1 ,NA,"Praça da Taquara, Taquara"
1580000,1600,6000,320,5 ,8 ,4 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
349000,NA,374,150,5 ,2 ,NA,"Rua Teixeira Ribeiro, Bonsucesso"
2300000,NA,627,269,3 ,4 ,4 ,"Rua Professor Milward, Barra da Tijuca"
170000,NA,NA,70,2 ,1 ,NA,"Rua Nuncio Caleppi, Realengo"
950000,NA,1463,224,4 ,1 ,2 ,"Rua Fortunato de Brito, Freguesia- Jacarepaguá"
730000,NA,1472,169,3 ,1 ,3 ,"Grajaú, Rio de Janeiro"
300000,NA,NA,105,2 ,1 ,1 ,"Rua Lópes Ferreira, Irajá"
1300000,98,780,80,3 ,2 ,1 ,"Rua Figueiredo Magalhães, Copacabana"
3800000,NA,1800,750,6 ,10 ,NA,"Lagoa, Rio de Janeiro"
850000,1,1789,178,3 ,5 ,2 ,"Rua Contenda,  Vila Valqueire"
460000,NA,1383,214,3 ,2 ,1 ,"Travessa Cerqueira Lima, Riachuelo"
1150000,NA,2623,364,4 ,4 ,4 ,"Rua das Verbenas,  Vila Valqueire"
4800000,NA,1700,460,12 ,13 ,NA,"Rua Bambina, Botafogo"
400000,NA,NA,95,3 ,2 ,NA,"Rua Vinte e Um de Abril, Quintino Bocaiúva"
2650000,NA,7000,230,1 ,1 ,3 ,"Rua Emílio Berla, Copacabana"
900000,NA,NA,130,3 ,6 ,3 ," Vila Valqueire, Rio de Janeiro"
230000,NA,NA,65,2 ,1 ,1 ,"Campo Grande, Rio de Janeiro"
595000,30,864,136,3 ,2 ,1 ,"Rua Felipe Camarão, Vila Isabel"
550000,NA,NA,130,3 ,2 ,1 ,"Rua Uranos, Olaria"
590000,20,250,241,3 ,3 ,1 ,"Rua Jorge Lossio, Tijuca"
450000,NA,NA,85,3 ,1 ,1 ,"Rua João Barbalho, Quintino Bocaiúva"
375000,NA,NA,60,3 ,1 ,1 ,"Estrada da Água Branca, Realengo"
4200000,NA,NA,610,5 ,8 ,6 ,"Rua Coronel João Olintho, Recreio Dos Bandeirantes"
790000,NA,NA,160,3 ,2 ,1 ,"Rua Uruguai, Tijuca"
790000,420,NA,189,3 ,1 ,4 ,"Rua Flordelice, Anil"
11500000,NA,NA,606,4 ,5 ,5 ,"Rua Alberto de Faria, Leblon"
600000,NA,NA,121,5 ,4 ,4 ,"Estrada Guandu do Sape, Campo Grande"
2195000,650,NA,1003,5 ,7 ,3 ,"Rua Gama Malcher, Freguesia- Jacarepaguá"
690000,NA,807,141,3 ,3 ,2 ,"Rua Doutor Ferrari, Méier"
740000,NA,1462,150,3 ,1 ,1 ,"Rua Amoroso Costa, Tijuca"
950000,500,100,90,4 ,4 ,2 ,"Jacarepaguá, Rio de Janeiro"
700000,NA,1066,149,3 ,1 ,2 ,"Andaraí, Rio de Janeiro"
2000000,NA,4000,750,4 ,7 ,2 ,"Rua Professor Olinto de Oliveira, Santa Teresa"
1200000,500,NA,230,3 ,3 ,1 ,"Rua Professor Fernando Raja Gabaglia, Freguesia"
640000,NA,1810,235,3 ,3 ,1 ,"Rua Paulo Silva Araújo, Méier"
600000,NA,NA,205,5 ,3 ,2 ,"Tauá, Rio de Janeiro"
1890000,1000,400,240,4 ,7 ,5 ,"Estrada Vereador Alceu de Carvalho, Recreio Dos Bandeirantes"
930000,500,100,90,4 ,4 ,2 ,"Jacarepaguá, Rio de Janeiro"
930000,500,100,90,4 ,4 ,2 ,"Jacarepaguá, Rio de Janeiro"
680000,NA,2739,544,5 ,2 ,7 ,"Rua Silva Gomes, Cascadura"
610000,NA,1980,197,3 ,2 ,NA,"Rua Sargento Luís da Silva, Taquara"
349000,NA,374,150,5 ,2 ,NA,"Rua Teixeira Ribeiro, Bonsucesso"
2300000,NA,627,269,3 ,4 ,4 ,"Rua Professor Milward, Barra da Tijuca"
950000,NA,1463,224,4 ,1 ,2 ,"Rua Fortunato de Brito, Freguesia- Jacarepaguá"
730000,NA,1472,169,3 ,1 ,3 ,"Grajaú, Rio de Janeiro"
300000,NA,NA,105,2 ,1 ,1 ,"Rua Lópes Ferreira, Irajá"
1300000,98,780,80,3 ,2 ,1 ,"Rua Figueiredo Magalhães, Copacabana"
3800000,NA,1800,750,6 ,10 ,NA,"Lagoa, Rio de Janeiro"
850000,1,1789,178,3 ,5 ,2 ,"Rua Contenda,  Vila Valqueire"
